model,n,hullV,ffhull_ms,qhull_ms
200720_Triton-2,1000000,5120,82.841,224.177
2017-01_Hermanubis,6300048,3734,100.368,1393.406
4headed,1502400,893,34.816,330.649
Actaeon,118266,1877,32.658,33.630
Aion-Louvre,1500336,1997,36.549,315.893
Alfred-Jacquemart,1410356,4071,63.693,399.310
Anna_te_Drieen_FINAL,6749508,223,59.131,1310.798
Athena,1305828,2126,39.796,314.193
BOSIO_fix,495000,1906,31.064,112.312
Bas-Relief-Bayon,6119856,535,66.123,1487.956
Bayon-Lion,749999,2464,50.384,217.477
Bearded-Man,2996988,3225,62.600,988.092
Beethoven,10499994,3196,118.723,2338.823
Bird_Figurine,587748,350,20.143,109.411
Blue_Sea_Star,1190360,2058,44.711,243.243
Bootleg_Eve,1650477,8597,118.130,416.480
Bordeaux,1080786,1470,34.568,266.250
Carcinoplax_Suruguensis,5403780,1975,77.448,961.166
Centaur,1566981,670,34.202,298.686
Child_with_goose,999998,5301,51.267,257.570
Colchester-Sphinx,1499994,945,36.113,336.556
Cupid-as-Shepherd_100MB,6157830,7178,91.101,1296.917
DH1_Epic-and-Metro,6281856,6194,137.586,1521.808
DH2_Socrates-and-Seneca,2925090,7499,53.947,812.680
DH3_Thucydides-and-Herodotus,6827568,7482,150.176,1837.058
Dark_Finger_Reef_Crab,1070805,2449,39.118,258.330
Dragon_1,1174539,3574,63.737,241.406
Dragon_2,1189576,2014,43.083,233.974
Eagle_custom_Normals,272776,2387,48.217,85.825
Einstein,2132352,3644,61.385,531.137
Eisbar,6754158,3127,78.442,1341.571
Elbow_Crab,711321,919,37.177,163.321
Ephebe,1397002,4503,55.367,323.725
Fiddler_Crab,455286,2629,42.643,105.842
Font_Reconstructed,4421112,1906,66.114,1164.527
Francois_Willeme_Bursche_Im_Sakko,9769068,11603,147.708,1722.175
Francois_Willeme_Selbsbildnis_LOW_170mb,10499778,13525,200.397,2372.765
FullBody_Decimated,1035735,1299,36.787,246.591
Fuß-Fanny-Elssler_mehr_Details-50T,300180,1008,24.255,60.163
GOAT,111034,865,23.873,26.889
Georges-Gardet,494981,3551,33.447,127.243
Georges-Lucien-Vacossin,1249999,10218,44.670,266.781
Ghost_Crab,3810342,1569,67.289,649.696
Glykon,1281218,5586,55.195,332.311
Goethe_Lifemask,1219393,12248,107.150,495.865
Harpago_Chiragra,4960584,2604,70.946,1102.289
HelmetMoustacheDecimated,941560,17481,126.210,466.929
Hermanubis-Broken,6391035,2551,92.430,1476.781
Hermanubis,7797102,2760,108.305,1648.832
Homo_Heidelbergensis_Model,1247826,1634,36.516,281.338
HornedHelmetDownload,1142216,8733,93.984,360.798
Horned_Sea_Star,10499988,1390,104.742,1838.599
Horse_Head,1250402,2975,67.718,347.196
Hosmer,673378,4928,61.554,166.825
Human_Pelvis_Bone,380010,1578,26.112,99.575
Hundepaar,804929,21552,154.067,286.320
Jenner-Post,664943,2888,53.123,158.993
John_the_Baptist,750000,7245,70.593,211.836
Jüngling_Vom_Magdalensberg,1000242,9137,117.539,304.911
Le_Transi_De_Rene_De_Chalon,494993,1965,42.827,100.534
Lion,303990,3562,26.568,116.674
Lolei,5939988,4218,80.388,1341.524
Lucius_Quinctius_Cincinnatus,10098240,5184,118.687,2289.908
Marble_Player,1332582,3071,58.523,301.404
Mars,1860426,1504,45.019,372.782
Mercury,4409808,3906,91.567,1010.002
Murex_Romosus,10558674,1403,107.066,2534.762
NAPOLEON_fix,495000,11994,85.149,208.859
NYMPH_fix1,494999,8365,38.904,155.827
Napoleon,1321536,1318,35.734,338.898
Neptune_Iustinian_Funie,1343861,3218,51.858,326.863
Nymph_Preparing_For_The_Bath,1600332,2382,52.553,347.296
Oceanus100,6000150,6389,96.485,1485.879
P,5996094,4298,107.199,1327.003
Pan,1500036,1697,33.445,358.713
Pan_corrected_threedscans,1094821,5393,53.643,295.236
Pan_fixed_,2177637,3270,89.348,675.239
Pan_raw_threedscans,1146842,7345,87.411,330.948
Photosculpture,1499988,6676,51.591,452.632
Photoskulptur_Gutenberg,3982230,11226,112.435,909.053
Plato,543323,11056,70.267,208.466
Poetsche_Photoskultur_Goethe,9569886,8002,151.780,2596.589
Portrait_Statue_Of_-Aule_Meteli,1792311,4267,50.587,475.488
Puck-on-Toadstool_100MB,6144684,5083,99.614,1332.921
Ram,1288535,5133,64.993,397.413
Samudra-Manthan,1089655,1155,32.035,403.733
Saxilby_Memorial_Helmet,846270,2926,31.632,221.933
Scallop,545636,2424,46.241,152.717
Seated-Sphinx-with-Griffin-Head,1500006,1042,45.974,396.217
Siren-1,1500024,1291,41.070,299.309
Sleeping-Hermaphroditus,1076074,3268,58.667,233.774
Sleeping-Venus,734191,2775,58.161,150.820
Sphinx_1,8385636,3740,101.594,1856.756
Sphinx_2,8041566,2066,653.568,1439.404
Sphinx_3,9928908,11658,160.068,4198.139
St_Hugh,306816,929,26.286,87.709
Statue-Provost_1M_Poly,3193068,4198,61.980,695.658
Statue-Provost_1M_Poly,3193068,4198,59.730,687.467
Statue_Bressant_1M_Poly,3197514,2244,57.204,573.425
Statue_Delaunay_1M_Poly1,3205560,3537,53.783,688.385
Ta-Prohm,6299682,1394,74.971,1554.410
Tennyson_Bust_Plaster,1769706,4480,39.901,414.666
The_Hunter_And_His_Dog,2983140,5689,70.188,695.715
Thetis,999999,4710,67.979,245.027
Thorne,1478365,30460,396.924,500.608
Townley-Greyhounds,1263806,9998,80.961,373.125
Venus_Kissing_Cupid,2880096,1918,52.918,635.920
Vishnu-Narasimha,494999,1265,34.188,157.470
Willy_Selke_Tondo,10288158,20265,175.288,2382.051
Womans_Head,1040982,5850,51.026,345.302
Xenophora,1190698,1935,48.025,233.066
aphrodite,2073972,2714,45.461,519.263
beethovencomplete,2301213,2037,49.172,531.231
c1,1834590,1071,34.688,360.765
c2,3292818,803,40.827,656.962
c3,4001364,1136,50.476,833.906
c4,3363690,1681,50.564,788.469
c5,3298914,889,48.239,744.931
c6,3298470,1133,48.385,713.527
c7,3353040,1104,52.889,741.019
enfant_au_chien_raw_threedscans,892342,5555,51.037,297.896
enfant_au_chien_threedscans,1076776,9468,102.136,350.632
hermes,999996,6017,44.448,244.750
johnwesley,1050186,2725,46.990,240.208
neptuneRaw,4670658,1432,68.404,854.983
pan_edited_,1199992,7523,132.165,325.148
penelope,1999998,12982,102.337,538.642
queenmargaretLCNUG1927656,2319888,3545,50.416,587.374
relief_au_taureau_lower_Rez,1276461,2891,74.849,388.440
